date,title,viewCount,likeCount,dislikeCount,commentCount
2019-05-12,"LYRICAL : Maa (Song) | Taare Zameen Par | Aamir Khan, Darsheel Safary | Shankar Mahadevan",1021960,29065,1993,2079
2019-05-14,PEERH MERI Video Song | ft. Anita Hassanandani Reddy | Pearl V Puri | New Song 2019 | T-Series,13324255,351862,9702,13930
2019-05-15,"Full Album: De De Pyaar De | Ajay Devgn, Tabu | Rakul Preet Singh | Audio Jukebox",519965,3028,826,280
2019-05-19,"PM Narendra Modi: Hindustani Song | Vivek Oberoi | Siddharth Mahadevan, Shashi Suman | T-Series",975821,22808,2454,1261
2019-06-05,"Full Audio: Tujhe Kitna Chahne Lage | Kabir Singh | Mithoon Feat. Arijit Singh | Shahid K, Kiara A",4192191,46422,1992,1669
2019-06-12,"ALL IS GOOD (Kavalai Vendam) | Full Hindi Dubbed Movie 2019 | Jiiva, Kajal Aggarwal",7853787,51820,5889,1397
2019-06-13,"FULL AUDIO:Mere Sohneya | Kabir Singh | Shahid K, Kiara A, Sandeep V | Sachet - Parampara | Irshad K",319168,3500,311,183
2019-06-25,"Pehla Pyaar Video Song | Kabir Singh | Shahid Kapoor, Kiara Advani | Armaan Malik | Vishal Mishra",5504813,103920,3249,2608
2019-07-01,EK MALAAL Video | Malaal | Sharmin Segal | Meezaan | Sanjay Leela Bhansali |Shail Hada,1477173,13188,2538,1297
2019-07-10,"Official Trailer: Batla House | John Abraham,Mrunal Thakur, Nikkhil Advani |Releasing On 15 Aug,2019",33490895,555993,22369,22917
2019-07-18,"Ashwini Ye Na Video | Ye Re Ye Re Paisa 2 | Avdhoot Gupte, Mugdha Karhade | Troy Arif",471604,4810,976,493
2019-07-29,"Making Of O SAKI SAKI | Batla House| Nora Fatehi, Tanishk B, Neha K, Tulsi K, B Praak,Vishal-Shekhar",7298488,125987,5625,2493
2019-07-30,"Jai Hanuman | Pranaam | Rajeev K | Vishal Mishra, Sukhwinder Singh,Manoj Muntashir I Sanjiv Jaiswal",255397,8401,1095,913
2019-08-02,"Saaho: Enni Soni Song | Prabhas, Shraddha Kapoor | Guru Randhawa, Tulsi Kumar",144257729,1294860,139588,53928
2019-08-02,"Ilaahi Video | PRANAAM | Rajeev K | Sonu Nigam,Vishal Mishra, Manoj M | Sanjiv Jaiswal",263673,5969,667,432
2019-08-04,"Bheege Mann Lyrical | Khandaani Shafakhana | Sonakshi, Badshah,Varun S |Rochak Kohli,Altamash Faridi",377254,8632,1185,957
2019-08-08,Aila Re Full Song | Malaal | Sanjay Leela Bhansali | Meezaan | Vishal Dadlani | Shreyas Puranik,453502,5798,1047,751
2019-08-14,Full Video: NAAD KHULA | Malaal | Sharmin Segal | Meezaan | Shreyas Puranik,558933,7865,861,498
2019-08-17,Official Teaser Jaani Ve (Album) B Praak | Arvindr Khaira | Bhushan Kumar,2224469,85620,4351,4168
2019-08-27,"LYRICAL: Bad Boy | Saaho | Prabhas, Jacqueline Fernandez | Badshah, Neeti Mohan",24877361,198635,13701,4192
2019-08-28,"SAAHO - Dialogue Promo 10 | Prabhas, Shraddha Kapoor, Neil Nitin Mukesh | Sujeeth | Vamsi Pramod",227528,4585,451,177
2019-08-29,Deleted Scenes 3: Kabir Singh | Shahid Kapoor | Kiara Advani | Soham Majumdar | Sandeep Vanga,10282969,196852,5063,2458
2019-08-31,"Khairiyat Video | Chhichhore | Nitesh Tiwari | Arijit Singh | Sushant, Shraddha | Pritam | Amitabh B",40072502,637681,16671,15758
2019-08-31,"Full  Audio: Khairiyat | CHHICHHORE | Sushant, Shraddha | Pritam, Amitabh Bhattacharya",191875,3444,316,215
2019-08-31,"Full Audio: Kal Ki Hi Baat Hai | CHHICHHORE | Sushant, Shraddha | KK, Pritam, Amitabh Bhattacharya",232642,3909,254,585
